names	lfc	padj
HIST1H4C	4.7426195	0.0
NPPC	4.375499	0.0
FOXB1	4.238667	0.0
MIR219A2	4.102422	0.0
CRNDE	4.1020274	0.0
UBE2C	4.017886	0.0
CAPN9	3.9291105	0.0
AC008060.7	3.8305378	0.0
RP11-676J15.1	3.8072722	0.0
HOXA2	3.8054445	0.0
IRX3	3.7304537	0.0
IRX5	3.7217553	0.0
CCDC140	3.6925075	0.0
PCDH8	3.6669974	0.0
ENPP2	3.657724	0.0
FZD10	3.6456032	0.0
MTTP	3.613465	0.0
MGST1	3.6068819	0.0
CDCA3	3.5922122	0.0
NTRK2	3.546649	0.0
CDK1	3.484515	0.0
PAX3	3.480939	0.0
RP3-406A7.7	3.4344127	0.0
CENPF	3.4174333	0.0
PBK	3.4140923	0.0
PTF1A	3.4116242	0.0
DIO3OS	3.4002554	0.0
CENPA	3.3946538	0.0
BIRC5	3.3921885	0.0
NMU	3.3908815	0.0
PDLIM3	3.3890214	0.0
HMGB2	3.3701491	0.0
GBX2	3.3692079	0.0
CYP26C1	3.360738	0.0
TACR3	3.3481357	0.0
RP11-244M2.1	3.3453472	0.0
PDCL2	3.3246045	0.0
RP11-314P15.2	3.3108103	0.0
CXCL2	3.301922	0.0
HIST1H1B	3.2931123	0.0
ZNF788	3.2910805	0.0
DBX2	3.2828841	0.0
TOP2A	3.2816818	0.0
LINC00844	3.2715101	0.0
PDPN	3.2714686	0.0
CDKN3	3.2649312	0.0
ANGPT1	3.194575	0.0
GSX1	3.1945531	0.0
CTD-3032H12.2	3.192364	0.0
NUSAP1	3.1909897	0.0
LINC01197	3.184954	0.0
SPC24	3.1659892	0.0
HOXD4	3.1638932	0.0
DLGAP5	3.1453023	0.0
RP11-82L7.4	3.1422403	0.0
RP11-76I14.1	3.1278884	0.0
AC005863.1	3.1183653	0.0
NUF2	3.117796	0.0
MAD2L1	3.1039302	0.0
CA3	3.0905704	0.0
PRDM13	3.0844011	0.0
PTTG1	3.0731633	0.0
FLJ12825	3.0705724	0.0
CCNB1	3.0608163	0.0
CCNB2	3.0401194	0.0
GTSE1	3.0364776	0.0
PENK	3.0184247	0.0
VIM	3.0096629	0.0
CTD-2616J11.14	3.0065625	0.0
KIF4B	2.9514732	0.0
ZIM2-AS1	2.9344766	3.222227196575461e-284
SGOL1	2.918022	0.0
RP11-699A5.2	2.9033086	0.0
MND1	2.8992023	0.0
CEP55	2.8932	0.0
GSX2	2.8915036	0.0
FRZB	2.8908248	0.0
TPX2	2.8848329	4.560026369460403e-307
ASB18	2.8800564	0.0
PAX7	2.8679616	0.0
OPRK1	2.8650086	0.0
RP1-167A14.2	2.8644574	0.0
HOTAIRM1	2.8549342	0.0
LINC01480	2.853653	0.0
HIST1H1D	2.8438966	4.9183406542739074e-228
DHRS3	2.8380325	0.0
OCSTAMP	2.8195791	0.0
SPC25	2.8160224	0.0
COL14A1	2.8110583	0.0
CTC-304I17.5	2.8052611	1.7289217080437852e-283
RRM2	2.8027434	0.0
NDC80	2.7972448	0.0
NTN1	2.777105	0.0
MKI67	2.7763631	0.0
HOXB-AS1	2.7646246	0.0
LINC01314	2.764102	1.8494277663950762e-275
AC002454.1	2.7633708	0.0
NPIPB9	2.7615452	0.0
SGOL2	2.7564669	0.0
FST	2.7547958	0.0
FAM72C	2.748914	0.0
CENPE	2.743815	0.0
CDC20	2.7346206	6.262987340581987e-309
CTC-340A15.2	2.719207	0.0
RIMBP3C	2.7091665	0.0
SNHG18	2.70775	0.0
CH17-408M7.1	2.7031586	0.0
RP5-836J3.1	2.6918602	5.036493112634009e-299
HIST1H2AJ	2.677777	0.0
TUBB6	2.6768982	0.0
LGR4	2.675352	0.0
RP11-346C20.3	2.6708233	0.0
AURKB	2.667423	0.0
RP11-834C11.6	2.6620739	0.0
PRSS57	2.6562846	0.0
ESCO2	2.6532617	0.0
PSRC1	2.6421926	0.0
AK4	2.6354315	0.0
MXD3	2.6260142	0.0
RP11-785G17.1	2.625639	0.0
SHISA3	2.6210248	0.0
C16orf82	2.6188152	0.0
PTX3	2.6180913	0.0
HES5	2.6144426	0.0
ZNF703	2.6082382	0.0
HOXA4	2.6018908	2.07571428162745e-309
HIST1H2AI	2.5944467	0.0
RPRML	2.5939395	0.0
ZNF492	2.5862997	7.877933734013097e-276
IKZF1	2.57491	0.0
CCNA2	2.5685444	0.0
APOLD1	2.5602612	0.0
GOLGA6L10	2.5562525	1.4083588254112747e-275
LLNLR-304G9.1	2.5520425	0.0
ASF1B	2.5466957	0.0
RP11-621L6.3	2.5465848	0.0
GJA4	2.5410743	0.0
HOXD3	2.5310879	0.0
TYMS	2.5300934	0.0
CXCL3	2.5182278	0.0
SOWAHD	2.5157933	0.0
KIF4A	2.5152755	0.0
RP11-37C7.3	2.5004773	0.0
CENPN	2.497225	0.0
ASPM	2.4735293	2.974464111802319e-297
RP11-977B10.2	2.4711337	4.71961779968033e-203
AC018730.4	2.4589162	0.0
AP001059.7	2.456244	0.0
HAGLROS	2.4544528	2.832735337451904e-302
TROAP	2.4526093	6.516165689896938e-306
DES	2.4497328	0.0
OIP5	2.4481413	0.0
KIF20A	2.4404655	0.0
HIST1H3B	2.4280567	0.0
C21orf58	2.408769	0.0
FAM19A4	2.4037588	0.0
AC004854.4	2.4027357	0.0
CKS1B	2.397937	0.0
CDC25C	2.3974314	0.0
FAM159B	2.3953357	0.0
SKA3	2.386755	0.0
LINC01360	2.3761165	0.0
NR2F2	2.374501	3.664854328462878e-303
MTFR2	2.373693	0.0
CDCA2	2.3694844	0.0
TACR1	2.368299	0.0
HMMR	2.3668103	0.0
NDNF	2.3651478	0.0
LTBP1	2.364695	0.0
RP11-159D12.11	2.3642704	0.0
WNT7A	2.3610587	0.0
RP11-506F3.1	2.3610008	2.4580276851558207e-256
SHCBP1	2.3542914	0.0
CTGF	2.348279	7.435590156930848e-295
RP4-536B24.4	2.3469365	0.0
CDCA8	2.3450742	0.0
BMPR1B	2.343736	0.0
CENPU	2.3362346	0.0
ABHD3	2.336036	0.0
RAD51AP1	2.336002	0.0
TUBB4B	2.326384	0.0
OTUD6A	2.3259068	0.0
ASCL1	2.3231497	0.0
PLK1	2.3223398	3.385361740966591e-288
SCHLAP1	2.3196864	0.0
HOXA-AS2	2.319372	6.996402200267916e-297
CYP26B1	2.3180578	0.0
HMGN2	2.3149185	0.0
FAM26E	2.3148077	0.0
DIO3	2.3100693	0.0
ARHGEF39	2.3081236	0.0
CENPM	2.3072896	0.0
CERCAM	2.3050578	0.0
MIR503HG	2.3021767	0.0
CKAP2L	2.3013556	0.0
FAM83D	2.2962406	0.0
HIST1H4I	2.2952502	1.2548206466212388e-266
AC016629.3	2.2815235	9.034675218386216e-248
MIS18BP1	2.281296	0.0
CTSV	2.2723255	0.0
FXYD1	2.2704535	0.0
HS3ST3B1	2.2682056	0.0
NCAPG	2.2672048	0.0
RGS20	2.2662852	0.0
TRPC4	2.2660534	0.0
TUBA1B	2.2652485	0.0
H2AFX	2.2475858	0.0
CD7	2.2422457	5.6769575903755745e-303
NEK2	2.2416773	0.0
FOXM1	2.2403693	0.0
RDH12	2.2301078	3.8348574307832183e-208
KIF18B	2.2208195	0.0
LINC01114	2.219178	0.0
PPP4R1-AS1	2.2177844	5.566441777796724e-235
KIF15	2.2145581	0.0
IRX2	2.209691	6.558984017495663e-283
AC010761.6	2.201049	5.9236506719349705e-294
HIST1H3G	2.2006981	0.0
POU3F2	2.1953206	0.0
NKX2-3	2.1949482	1.373953069352581e-259
NEIL3	2.1942508	0.0
NR2F2-AS1	2.1933897	0.0
CKAP2	2.1902874	0.0
HIST1H3J	2.1888251	6.753048718546813e-302
CENPK	2.185396	0.0
DEPDC1	2.1830347	0.0
KIF18A	2.1697083	0.0
CYP26A1	2.169499	0.0
ID1	2.166671	7.788878658434407e-240
RP11-160N1.10	2.1651385	0.0
PRRG4	2.1558762	0.0
PLA2G4A	2.15455	0.0
RP11-705C15.4	2.1539714	0.0
MIR99AHG	2.1503325	0.0
RP11-343J3.2	2.1485844	3.664006394265444e-296
PARPBP	2.1355517	0.0
KIFC1	2.134819	0.0
RP11-963H4.3	2.1322775	0.0
HIST1H1A	2.129041	3.855716548062768e-256
TGFB2-AS1	2.1256914	0.0
SMC4	2.124979	1.5451303517095435e-288
POC1A	2.1244783	0.0
MAP7	2.1236417	3.0456829868030293e-286
TACSTD2	2.1228597	0.0
BCL2L12	2.1215823	0.0
KIF23	2.118985	0.0
ATXN8OS	2.1166449	1.0896272038209456e-240
CASC5	2.1105683	5.173797743095823e-299
PRC1	2.1101785	1.2426995095899971e-293
PHF19	2.105606	0.0
MELK	2.0992422	0.0
AC015922.6	2.0954185	0.0
RP11-647P12.1	2.0925198	0.0
DEPDC1B	2.0884862	0.0
PTTG2	2.0884848	1.5628651378219622e-277
ID3	2.0856428	9.588969884845364e-154
H2AFZ	2.0817833	0.0
TACC3	2.0816185	0.0
ATAD2	2.078493	2.8304574172251565e-286
CA8	2.075307	0.0
HIST1H3E	2.0739934	2.3392213427084447e-295
MYBL2	2.065791	2.565138039917144e-289
AP001347.6	2.0644715	4.723628030793677e-249
RP11-834C11.5	2.063462	1.6397108355336514e-273
RP11-435O5.2	2.0593302	0.0
RP11-459F6.3	2.057416	0.0
RARRES2	2.0549386	0.0
LMO3	2.053778	0.0
AURKA	2.0443482	0.0
MOXD1	2.0425177	0.0
HIST1H2AL	2.0395334	2.43104383496443e-302
RP11-474O21.5	2.0388	0.0
HBE1	2.031177	0.0
RP11-387A1.5	2.0289369	0.0
CXXC4	2.027716	0.0
MICB	2.0258808	0.0
PRR11	2.02563	0.0
HOXB2	2.025169	3.824404327579131e-291
HOXA3	2.022257	6.397014383309377e-309
FAM89A	2.0125942	0.0
WWC3-AS1	2.0123146	7.069625767317868e-283
ZNF700	2.000336	4.16184629104477e-225
KIF2C	1.9974481	3.0228897962800677e-299
E2F8	1.9965699	3.984497994750072e-299
PIF1	1.9940761	3.991948466125416e-257
KPNA2	1.9938016	0.0
RP11-522B15.3	1.9935578	0.0
STRIP2	1.9879452	0.0
ZWINT	1.9879245	1.4332291713849545e-295
EVA1A	1.987715	0.0
RP11-148L24.1	1.983756	1.861392755083701e-246
MNS1	1.9806584	0.0
ZNF98	1.9801635	8.232546423471871e-207
RP11-15B17.1	1.9796236	0.0
AC002116.7	1.9795103	7.73221403871573e-307
