names	lfc	padj
CRABP1	8.538275	7.203932001862376e-171
NEFM	8.11724	1.7903575521079924e-173
NEFL	7.7520223	3.2025481065670424e-174
PHOX2A	7.713108	2.1720963900301383e-178
TRBC2	7.0832253	3.609067252617798e-176
HTR3A	6.6929674	2.40629086113726e-176
PHOX2B	6.59541	8.833254464669118e-176
ASMT	6.4202104	2.1720963900301383e-178
C1QL1	6.351476	6.980075466355363e-171
RP11-227F19.1	6.182394	2.40629086113726e-176
KISS1	5.932885	5.543042014016766e-167
VWF	5.912948	3.524629515273478e-169
CCDC60	5.881366	1.0769812271651652e-174
RP11-622J8.1	5.8111434	7.454603523992961e-163
RP11-491F9.5	5.5887313	1.9216884769002117e-165
OPTC	5.540357	2.3613338138675844e-169
MAFB	5.506618	2.9025894891505225e-177
SNCG	5.4643703	1.061425003192059e-151
ANXA8L1	5.4584007	3.14710146569955e-179
HOXB2	5.3832746	5.254840558216698e-172
C20orf166-AS1	5.3744755	3.084935075249234e-175
STMN2	5.3741684	1.928651316150771e-93
TH	5.2944093	2.0296799894619075e-169
CBLN1	5.2896056	1.7434990357190285e-164
CTB-12O2.1	5.2620063	2.340870942344259e-174
TMEM235	5.261927	9.76086458138837e-171
LBX1	5.1834497	2.090127397447102e-167
CDKN1C	5.161943	2.840104018839941e-152
REM1	5.142344	9.44022982214968e-171
RP11-679B19.2	5.0754747	1.677799340428747e-131
RP11-491F9.1	4.99707	3.196664032660796e-159
HOXB1	4.9845448	7.055159175883633e-157
IP6K3	4.949428	1.233107988973326e-172
LINC00682	4.9347157	1.0248790499109626e-172
CBLN4	4.914885	7.655371154814479e-150
GAL	4.835583	4.826125665729223e-164
HBZ	4.7945156	4.169956922196645e-161
RP11-264E18.1	4.5808654	2.164584321364668e-172
RP11-575H3.1	4.535564	2.3382551307153074e-168
ACP5	4.5030184	2.623935001098182e-174
PNMT	4.4578795	4.550424226864449e-149
ANGPT1	4.4186907	5.337791659105642e-156
AC105339.1	4.410996	4.123473619652063e-176
CDH13	4.3989224	3.918103891937777e-167
PRR35	4.3701315	1.1387802203928008e-164
PMEL	4.318819	2.334413804460604e-152
RET	4.25661	1.5862192709451904e-164
ESRRG	4.216748	2.6479740286425787e-176
CRYBB1	4.204371	3.6411975200059558e-168
CLDN5	4.1820683	1.590144832753338e-149
DRGX	4.124723	4.3639593992153044e-166
SCML4	4.10432	7.421688532471191e-156
HRH3	4.0423226	2.2351743001680526e-177
RP11-514P8.6	4.0199547	2.6935239714639957e-166
NNAT	3.9880195	2.122478652309831e-110
FBP1	3.9653318	4.50662578838229e-174
GAP43	3.9541545	9.280548534426633e-115
POU4F2	3.9390442	2.0686141808386942e-161
EPN3	3.8929403	2.264268693180828e-169
LINC01251	3.8457887	7.142172133570707e-172
RBP1	3.800781	2.700419575713084e-157
RP11-140A10.3	3.7990084	7.525999529742287e-169
