names	lfc	padj
SST	4.441751	4.1561389259489824e-16
RP1-27K12.4	3.919129	1.9406269069677962e-41
RGS10	3.6190538	1.022248789984057e-76
OTOS	3.5832253	4.896366642642259e-150
PPP1R17	3.5797539	4.976453548030288e-13
LIPC	3.458152	8.194717192244584e-75
TNC	3.4150505	0.3679880719404985
IL11	3.39364	1.7926225919816794e-32
RP1-293L6.1	3.344382	8.876707802294219e-05
PPP1R27	3.340207	0.0001560434114666746
MYH8	3.3244505	6.704958282708134e-23
S100A10	3.312817	5.128449674015859e-09
TGFB1	3.2791545	9.558452208353323e-46
GAL	3.2381861	1.1381658012250151e-50
MSC-AS1	3.2010145	3.0215292087299174e-06
FAM78A	3.2007408	2.102549158286073e-124
PPP1R14A	3.19245	1.36658382481265e-19
TLX2	2.96764	1.4628859450180056e-22
ISL1	2.9665258	5.791678033952633e-31
SIX1	2.9395125	9.629391426360897e-08
LCN15	2.9089131	3.1742942798124723e-34
NMRK2	2.8822842	2.0560253470048168e-97
LILRA4	2.8481798	2.5156019702533212e-12
CCL3L3	2.844532	3.386435295133093e-52
CABP2	2.8269906	0.009153180254115397
RP11-326A19.3	2.7992494	1.9571858719909553e-68
TNNC2	2.7787192	1.2501562180394952e-40
CTD-2089N3.2	2.7432113	4.809613544663229e-42
KCNK9	2.7363853	7.994626096054937e-21
RP11-367H1.1	2.7290099	0.003759064330722637
CCL28	2.7200818	1.3972833455583427e-30
SLC7A7	2.7141418	2.8082207362508165e-125
CD163L1	2.704418	8.550574950942827e-13
C11orf96	2.701749	0.4541619916178485
SNCG	2.660589	2.4233440405387617e-42
FABP3	2.649103	0.019973579200270375
HRC	2.6460412	1.6065872224974479e-40
UPK3B	2.645384	1.070520074998457e-30
SLC9A9	2.617167	2.814604331546393e-29
PPP1R1C	2.5362825	5.697193107848009e-25
KLHL40	2.521435	1.0423149642031488e-14
CTRB2	2.5089972	0.05361381917893292
TLX3	2.5026479	0.0016714308796713668
NTRK1	2.492726	2.744058596514723e-08
CERKL	2.484166	1.232389593729367e-50
C4orf45	2.4777558	6.360920727840443e-175
CDH15	2.4718485	2.484252687683449e-30
KCNJ12	2.4565945	0.00047221958787549434
LINC00693	2.399458	3.120657787809132e-23
SHOX2	2.371187	1.8515914447427087e-05
ENO3	2.359449	7.0741300069418005e-37
POPDC3	2.3333998	5.384812525516798e-21
CAPN3	2.3258018	1.0946461816741768e-25
RERGL	2.3160157	0.02698527392702354
SPTSSB	2.2955532	0.006483326036759432
S100A11	2.278436	3.546483991856572e-06
AC073316.2	2.2693777	0.1717290576921152
CTD-2089N3.1	2.2653525	5.580971909449036e-35
GMPR	2.260176	0.004521783336920117
FAM162B	2.251297	2.1111484660593274e-79
RANBP3L	2.243345	0.8984601736919416
CCER2	2.231509	0.855682747358013
RP11-680F8.1	2.2130432	2.8215601895867766e-88
GLI1	2.1932254	6.230774118132093e-28
OTOF	2.1691847	0.002096773406233991
TMOD1	2.1582177	5.450159267584469e-43
RP11-316I3.1	2.1360776	0.0004108562809367609
CH507-42P11.7	2.131631	4.3886230748351757e-08
RHBDL3	2.128916	7.982302003252118e-63
SRL	2.1255658	1.4616138462244662e-49
COL7A1	2.1028976	0.07532729147983382
HMX1	2.0867405	3.2909428711482265e-07
TPH2	2.064483	0.1274231479209238
TMEM54	2.0472553	7.3206231143126e-90
CTC-321K16.1	2.045045	8.90802933979056e-27
ITPKA	2.0292563	1.1039305872327709e-43
AGT	2.026103	0.0003955712752032256
TMEM255B	2.0203493	7.034130234712867e-118
ZNF385C	2.0129845	4.481476275589348e-08
PMEL	2.007283	0.06303927185677276
HPCA	2.0060005	1.7747989425009714e-49
NPW	2.0026855	3.639911871383133e-62
GPX2	1.9990122	5.7096144302454156e-09
LINC00379	1.9554255	0.005018103465594923
SDK1	1.9532248	0.039492388059974015
HLA-DOB	1.9422776	0.4742008809976418
ITGA7	1.9327973	1.1234791399924798e-26
USH1G	1.9316257	0.0005472179456765492
WIPI1	1.9316163	3.729868246366118e-06
PRSS12	1.9300435	1.684450138933111e-07
OLIG1	1.928841	0.002638484309388605
PRPH	1.9198302	3.530745077183185e-08
CTB-43P18.1	1.9049	9.435641718852252e-122
SLC6A3	1.904214	1.740453823013562e-10
AC091801.1	1.9006114	1.3102628204417305e-10
RP11-321E2.3	1.8650261	0.49656522345565063
PRRT3-AS1	1.852392	1.0950086497248463e-37
SELM	1.8500139	6.730740615978359e-70
XK	1.8457253	1.5005396681298946e-94
SPON2	1.8380108	2.9517038876751047e-07
LINC01163	1.8274729	0.41144729598875557
INAFM1	1.8192914	1.7061220532380392e-24
ACTC1	1.8125916	1.8389628050641398e-06
CASP3	1.8115575	0.25907504954320165
AMN	1.8108481	8.860948505358954e-62
C10orf128	1.8077428	0.0019158221893533507
TBC1D3B	1.7968358	0.3783944507958951
HSPA6	1.7940497	6.277513127715624e-77
RP11-454P21.1	1.7907813	0.0007728689957343177
EN1	1.7870992	0.6319610091880212
ITIH1	1.7808143	0.06067726553323278
ASGR2	1.7709968	0.2524913903229884
HHIP	1.7702336	0.6230138283966271
CTB-91J4.1	1.7645669	0.0038587265600257947
RPRM	1.7645165	0.758958611352479
HHIP-AS1	1.7643665	6.57370348506616e-20
HES2	1.7622682	1.1835715138646176e-63
RP11-479J7.2	1.7595747	1.5872260151688876e-12
ALCAM	1.744139	2.375875223109115e-05
HEPACAM2	1.7407267	0.026147849170028905
RP11-1L9.1	1.7260995	0.01703105811410862
AC007879.4	1.7222084	0.0027053042969036
EYS	1.7166613	0.00015592531732032356
GPR50-AS1	1.7061784	3.46891657410464e-11
HRK	1.6922433	9.922840340439048e-16
CDH6	1.6912303	0.21668767682940202
RP11-469N6.1	1.6895639	1.703984440367283e-73
RP11-299L17.3	1.688308	0.6559722247122759
COL16A1	1.6849747	0.01186053365865454
LGI2	1.6697018	0.3569853317048105
KCNQ1	1.6660079	2.8793221997918422e-105
CBWD7	1.6657991	4.357367018898149e-55
FCN2	1.6613613	0.4322181025061891
TCF15	1.6509821	0.011025834051897249
TNNT2	1.6472821	1.4683961060844139e-06
AC079779.5	1.6438047	0.038791489198614644
IL10RA	1.6209419	0.28209381553627993
RP11-334G22.1	1.6197276	3.151714890526224e-109
PSTPIP1	1.609054	7.302900861172917e-27
LOXL1-AS1	1.5977257	6.605810995635657e-52
HID1	1.5959316	0.09938783608444522
EBF3	1.5810477	2.2521923761899713e-07
PCBP3	1.5794513	0.20413323341828843
ANXA2	1.578385	5.2413935076817e-26
BVES	1.5721643	0.9814860034438855
CT83	1.5678198	1.1959792512122579e-11
CCL4L2	1.5639406	8.351623094249771e-08
MAP4K1	1.5565943	1.3949732455466769e-105
TMEM215	1.5522785	0.7870515153759642
AFAP1	1.5497249	5.500697922805884e-17
NPFFR2	1.5474677	0.6918152491584157
RP11-21A7A.4	1.5453428	1.7098408949750749e-38
B4GALT1-AS1	1.5371552	0.05951735864363916
GNG4	1.5353495	3.619684931953373e-42
NEUROD1	1.5352407	0.951630696006569
LDB3	1.5345247	2.5711541599609953e-23
TMSB4X	1.5344138	7.215555422076393e-106
RBM24	1.530255	5.927749936769283e-19
C15orf59-AS1	1.5270969	0.006521820582674601
CRYAB	1.5254753	6.551744824024747e-26
S100A6	1.5214769	2.9927501595150553e-50
WFIKKN1	1.521256	0.34312801167834384
STBD1	1.499584	1.4537271730961573e-07
VLDLR-AS1	1.4968145	4.338694595561973e-38
PDE4DIP	1.4936572	0.1279106976102162
PTP4A3	1.4924413	9.173284179543271e-45
MAPT-AS1	1.4920683	1.0711676738041208e-17
PRKG1	1.4917879	1.293686063578342e-19
CNST	1.4909167	0.002556350062556656
AC131056.3	1.4865553	2.647785159691731e-10
THSD7B	1.4792465	0.007311393463365633
RP11-807H7.2	1.4788895	6.183980361504723e-30
KCNIP2	1.4679822	2.440602814266439e-17
PPP1R36	1.4671685	1.560115812728965e-15
LILRB5	1.466545	0.027454085582172636
RP11-650J17.1	1.462264	0.0032204544000642393
PRKAG2-AS1	1.4608284	1.8287940343034268e-31
BVES-AS1	1.4596748	4.445764742465873e-06
RP11-856M7.1	1.4542365	0.044652541107557175
CCDC3	1.4537154	0.0017539366714164409
NHLH1	1.4524581	1.7098976943256981e-09
CTSF	1.4519225	2.9375949024231956e-07
EPB41L3	1.4519193	4.070173438395879e-06
CCDC69	1.4501438	1.171084797021442e-13
CPNE9	1.4439547	1.920365309796508e-05
RP11-247C2.2	1.4332948	3.280604427031926e-34
PITPNM2	1.4284453	8.391949329447346e-21
MXRA7	1.4244456	1.98102920436323e-11
ADAMTS5	1.4243871	1.6157391955281322e-09
HAGLROS	1.4210058	1.24312391152068e-72
G6PD	1.4180889	5.924206769763931e-26
RP11-119J18.1	1.3802266	0.025156245370960083
DEPDC7	1.3793848	0.0015310577774957977
OSTF1	1.3715435	3.812636797130619e-18
RP11-613D13.8	1.3679307	0.39831281269391533
HMOX1	1.3571298	8.324468487781707e-29
C14orf132	1.352049	1.1179018486072951e-07
ULBP2	1.3504965	0.027890117322905434
PDCD4-AS1	1.3489735	4.461454775717762e-167
SULT4A1	1.347654	4.131679668723836e-07
YBX3	1.3422967	6.960528400988416e-73
ADAM11	1.340833	0.0037031122942229266
PADI2	1.3362367	0.0002786625377280368
SCRG1	1.3319696	0.7300182089750138
RP11-498C9.13	1.3278383	2.92207443818969e-14
PREX1	1.323665	4.1767297466590876e-55
ACSL4	1.3191298	0.3304113571188182
CTHRC1	1.3186414	0.4249513497341283
MAP1LC3B2	1.3150958	2.5596433292990873e-05
AC091878.1	1.3129638	0.28279068879978353
MT3	1.3125988	5.318806949646044e-29
ACSS2	1.3122004	1.354621911725598e-49
MTHFD2	1.312051	2.642980320525464e-26
SRPX	1.3057195	8.316972870879555e-57
