names	lfc	padj
MIR219A2	5.1684594	0.0
NPPC	5.1647835	0.0
DIO3	4.997743	0.0
UGT2B4	4.833261	0.0
RP11-834C11.6	4.708135	0.0
PTF1A	4.6794734	0.0
DIO3OS	4.5156956	0.0
RP11-387A1.5	4.4905224	0.0
GSX2	4.4656363	0.0
FOXB1	4.3815727	0.0
GSX1	4.313089	0.0
HOXA2	4.258737	0.0
LINC00844	4.198337	0.0
GJA4	4.1959996	0.0
RP11-82L7.4	4.1650662	0.0
IRX5	4.1342554	0.0
PAX3	4.12287	0.0
MGST1	4.1086245	0.0
IRX3	4.071894	0.0
FZD10	4.049393	0.0
AC008060.7	4.0356274	0.0
ENPP2	4.0179596	0.0
HOXD4	3.9692397	0.0
HOXD3	3.9111838	0.0
NTRK2	3.854304	0.0
TGFB2-AS1	3.8521025	0.0
PDPN	3.8223696	0.0
HOTAIRM1	3.8062592	0.0
CTC-304I17.5	3.7618139	0.0
CRNDE	3.7536898	0.0
PRDM13	3.7441986	0.0
RP11-676J15.1	3.669943	0.0
PAX7	3.650812	0.0
LINC01480	3.617422	0.0
CCDC140	3.5946343	0.0
NKX2-3	3.566963	0.0
DBX2	3.5657768	0.0
SHISA3	3.5621023	0.0
LINC01197	3.5497403	0.0
HBE1	3.5423517	0.0
CAPN9	3.5205557	0.0
HOXA1	3.5166726	0.0
ADAMTSL1	3.5096118	0.0
RP5-836J3.1	3.4532223	0.0
LEFTY2	3.4524407	0.0
TACR3	3.4436066	0.0
AC018730.4	3.4400377	0.0
GBX2	3.4133058	0.0
OPRK1	3.3908768	0.0
ANGPT1	3.387143	0.0
ASB18	3.3678107	0.0
HOXA-AS2	3.3644068	0.0
CXCL3	3.345507	0.0
TACR1	3.3439248	0.0
PCDH8	3.34203	0.0
PDLIM3	3.3242898	0.0
RP11-834C11.5	3.3125637	0.0
RP11-314P15.2	3.3086793	0.0
HOXB-AS1	3.296597	0.0
RP11-160N1.10	3.2123609	0.0
CYP26C1	3.1982036	0.0
HAGLROS	3.178204	0.0
RP3-406A7.7	3.1728046	0.0
RP11-647P12.1	3.1393363	0.0
MTTP	3.1338573	0.0
RP11-699A5.2	3.1321304	0.0
RP11-785G17.1	3.1237068	0.0
RP11-474O21.5	3.1167717	0.0
VIM	3.1166813	0.0
CTD-3032H12.2	3.1102304	0.0
OCSTAMP	3.043922	0.0
RP11-374M1.5	3.0256004	0.0
HOXA5	3.0024648	0.0
HOXA4	2.9662066	0.0
DHRS3	2.9380214	0.0
TACSTD2	2.9304547	0.0
HOXD1	2.9300475	0.0
LINC01571	2.9077475	0.0
WNT7A	2.9054217	0.0
LGR4	2.8917139	0.0
SP9	2.885789	0.0
CTC-340A15.2	2.885003	0.0
LINC00524	2.8773117	0.0
IKZF1	2.8727887	0.0
HOXA3	2.8664312	0.0
MIR503HG	2.8655267	0.0
CYP26B1	2.860581	0.0
PENK	2.8571906	0.0
CH17-408M7.1	2.8507583	0.0
RP11-758P17.3	2.8276808	0.0
AC002454.1	2.8146684	0.0
NDNF	2.8012953	0.0
LINC01314	2.7899578	0.0
MIR100HG	2.7883434	0.0
SLC6A2	2.783611	9.17868548057428e-91
RAMP3	2.7706683	0.0
HOXB4	2.765503	0.0
AC003090.1	2.7648342	0.0
EFCC1	2.7568839	0.0
SNHG18	2.7295682	0.0
RP11-834C11.4	2.7215147	0.0
TRPC4	2.7137942	0.0
HOXC4	2.6993518	0.0
HES5	2.6904993	0.0
SOWAHD	2.6902225	0.0
FST	2.6887612	0.0
CRYGC	2.686475	0.0
LTBP1	2.6862104	0.0
CRYBA1	2.6793041	0.0
PDCL2	2.6765099	0.0
POU3F2	2.6742055	0.0
APELA	2.6674984	0.0
NPIPB9	2.6672192	0.0
EVA1A	2.6550584	0.0
AC092675.3	2.6335528	0.0
HS3ST3B1	2.6295142	0.0
NTN1	2.620941	0.0
CTD-2162K18.3	2.6190596	0.0
IRX2	2.6182804	0.0
HOXB3	2.5865557	0.0
OLIG3	2.5811374	0.0
FLJ12825	2.5791016	0.0
DENND5B-AS1	2.5790315	0.0
RP11-37C7.3	2.5777051	0.0
RPRML	2.5729892	0.0
PRSS23	2.572127	0.0
TGFB2	2.5616097	0.0
SOCS2	2.5610557	0.0
LINC00473	2.5556688	0.0
AC005932.1	2.553438	0.0
FRZB	2.5312119	0.0
MOXD1	2.5192606	0.0
WNT5A-AS1	2.5144718	0.0
HOXB-AS3	2.5021853	0.0
HOXC5	2.4947007	5.82834864867213e-38
THPO	2.4771812	0.0
RP11-346C20.3	2.469325	0.0
HCCAT5	2.459937	0.0
RP11-76I14.1	2.4482992	0.0
AK4	2.4382837	0.0
NR2F2	2.4268835	0.0
SCUBE2	2.411097	0.0
RP11-621L6.3	2.4019532	0.0
RGS20	2.397157	0.0
RP11-963H4.3	2.3948495	0.0
FXYD1	2.38231	0.0
NXPH2	2.3700943	4.3511767718229774e-284
LINC00620	2.3365397	0.0
ASCL1	2.320363	0.0
MIR99AHG	2.30968	0.0
WI2-85898F10.1	2.3095288	0.0
RP11-834C11.15	2.292478	0.0
PRSS16	2.2904565	0.0
CXXC4	2.284427	0.0
C16orf82	2.283596	0.0
FAM89A	2.2774425	0.0
BMPR1B	2.2755458	0.0
ZEB2-AS1	2.2714913	0.0
MSX1	2.2658358	0.0
RP11-285F7.2	2.260365	0.0
AC005863.1	2.250931	0.0
LAMA4	2.2455819	0.0
THBS1	2.2296162	0.0
CD300C	2.2282233	0.0
ABHD3	2.226963	0.0
AP000962.2	2.223073	0.0
RP11-91P24.7	2.2136729	0.0
CA3	2.2090306	0.0
PRSS57	2.19786	0.0
RP11-759A24.3	2.197521	0.0
KIRREL2	2.1948464	0.0
ZNF703	2.1946125	0.0
FAM26E	2.1930578	0.0
ID1	2.18247	0.0
AC002116.7	2.1816134	0.0
RP11-435I10.4	2.1663043	0.0
NR2F2-AS1	2.1651552	0.0
RP11-214O1.3	2.1603744	0.0
TSGA10IP	2.1527388	0.0
LINC01102	2.1525857	0.0
PODN	2.1518252	0.0
C5orf38	2.1391683	0.0
LMO3	2.139138	0.0
AC010761.6	2.1321719	0.0
ID3	2.130471	4.0802765191957895e-291
WNT5A	2.128095	0.0
RP11-327J17.9	2.1273901	0.0
RP11-363J20.2	2.1148796	0.0
DMBX1	2.1133945	0.0
HS3ST3A1	2.099635	0.0
FOXP4-AS1	2.0996132	0.0
LINC00649	2.0985117	0.0
MMP2	2.0927067	0.0
CERCAM	2.089548	0.0
MAP7	2.0868077	0.0
RP11-958F21.1	2.0833716	5.883821199035509e-274
ARL4A	2.0807078	0.0
RP11-435D7.3	2.0801988	0.0
NMU	2.0774996	0.0
HOXB2	2.0769784	0.0
WEE2	2.0692954	0.0
CSNK1A1L	2.057874	0.0
RP11-54O7.2	2.0574508	0.0
CTD-2561B21.11	2.0439496	0.0
MLN	2.0222607	0.0
CD7	2.0184095	0.0
LINC00403	2.0166314	0.0
RP11-446H18.5	2.0134504	0.0
HS6ST3	2.0116282	0.0
AC105053.3	2.0082035	0.0
PTX3	2.005312	0.0
RP11-723O4.6	2.0018764	0.0
RP11-32K4.1	1.9997902	0.0
FAM19A4	1.9934896	0.0
PLA2G4A	1.9834151	0.0
S100A13	1.980053	0.0
RP11-148L24.1	1.9737952	0.0
SHBG	1.9727714	0.0
AP001172.2	1.9722565	0.0
PHYHIPL	1.9681636	0.0
HIF1A-AS2	1.9631846	0.0
GDPD2	1.9557599	0.0
RP1-315G1.3	1.9470886	0.0
