names	lfc	padj
FBXL16	2.4699693	2.353515693192637e-167
RGS17	2.466687	2.559708069867428e-152
LRRC26	2.457738	6.05543615543051e-149
KHDRBS3	2.4529574	1.715225787547962e-163
PLPPR2	2.449361	3.351976972955022e-166
CKMT1B	2.4479816	5.435650694293523e-171
RELL2	2.4419656	2.4610668178008872e-173
MARCH11	2.4397578	9.285724504568783e-165
CACNA2D1	2.4383414	2.639526662447459e-133
TMOD2	2.436392	6.9058395390837216e-164
SH3BP5	2.4313529	5.891132678185118e-157
FABP6	2.4246044	1.5012625072711183e-157
RBP7	2.4179945	4.9726950616078904e-126
C1QL3	2.4107914	4.366446736364641e-135
SYNE4	2.4052982	8.14242186967347e-125
AC009133.21	2.4000797	3.694722179373848e-153
CALB1	2.399418	1.0334949229315202e-110
CNR1	2.3873007	1.3086893581952276e-144
ATP6V1G2	2.3864067	5.004567483848731e-166
NRXN1	2.3812523	3.7512280770739166e-111
VSNL1	2.378511	1.4023347419794877e-120
CACNG1	2.3775005	2.0696440367282842e-86
SAMD3	2.3769994	9.745252668611415e-123
BMP3	2.3758004	1.370857073775622e-140
RAB3B	2.3716383	9.959426045139256e-160
MAP4K1	2.3688831	1.3328511022646382e-186
ASPHD1	2.3654804	2.0814020808374322e-157
NDUFA4L2	2.3644598	2.402407953608949e-149
BCL2L10	2.3571994	1.5250214844850537e-96
CTXN3	2.3565178	1.515882838214124e-147
CD24	2.3550546	5.7625079337224524e-179
PKIA	2.3548632	2.0095740626136453e-190
KCNJ5	2.3544357	1.9573789588602004e-151
LIN7B	2.3528469	3.4096433253416227e-193
TCEAL7	2.3493452	1.3689434304653911e-149
RP11-397G17.1	2.347524	2.8300314641289124e-49
NKX6-2	2.3462164	5.130418972684164e-109
NEUROD6	2.3452022	2.999371349681805e-73
CELF5	2.3449488	5.398042408543637e-152
KCNC2	2.3347604	2.7580471169459266e-145
CNTNAP2	2.3254554	2.902085094432066e-75
CPNE5	2.3253405	8.922601125900222e-148
PTPRN	2.318564	2.864061617587607e-153
RP11-1263C18.1	2.3173773	1.604987599272038e-113
TBR1	2.3111496	4.558210569980033e-101
NRCAM	2.3072026	3.478443833489608e-163
BEX2	2.3029764	2.3362205744340743e-157
RP11-454P21.1	2.3026998	1.1719170977546875e-144
RP11-613D13.5	2.3011584	2.060030849017022e-104
UNC5A	2.3000836	1.4204346205431204e-143
RTN2	2.299627	1.0593407562814138e-165
ZNF454	2.2937655	8.480991567912626e-68
