names	lfc	padj
SFRP1	2.1259017	7.127859844603027e-279
FABP7	2.1148574	1.008937753281937e-257
TTYH1	2.0911858	0.0
AC093702.1	1.8960265	0.0
C1orf61	1.7897121	1.9973424718625327e-160
AMBN	1.7803831	0.0
ID4	1.7285988	1.7893672408783532e-184
DCT	1.7065338	0.0
LINC01551	1.6398206	1.0054240044752709e-195
CRYGD	1.6296805	0.0
SDR16C5	1.6036273	0.0
GLP1R	1.5904682	0.0
MEDAG	1.5768688	0.0
LINC01508	1.561164	0.0
LY6D	1.5565796	1.7603157495626812e-298
LRRC25	1.5398338	0.0
CTD-2296D1.2	1.5276612	0.0
AC062028.1	1.526558	0.0
RP11-598D14.1	1.5194129	0.0
WI2-1959D15.1	1.5047222	0.0
OLFM3	1.4751847	0.0
TNFRSF14	1.470419	0.0
GHR	1.462765	0.0
CTD-2129N1.1	1.4581832	0.0
MT3	1.4471246	0.0
CMBL	1.4436675	0.0
HTR2A	1.4406087	0.0
AC019117.1	1.4378659	0.0
MRGPRF	1.4233435	0.0
PVALB	1.4191284	0.0
RP11-71E19.1	1.4191096	0.0
LIX1	1.4163774	1.1864108032005744e-208
AC003075.4	1.4040232	0.0
MASP1	1.4035313	4.041413476501121e-293
LYPD6B	1.4001858	0.0
ERVMER34-1	1.3925301	0.0
GLIS1	1.3851432	2.890209659834852e-252
ID3	1.3844254	4.356149191081497e-109
IFI44L	1.368467	9.285492713287778e-226
GJA5	1.3601284	0.0
PLEKHB1	1.3532368	0.0
B3GAT2	1.339238	9.880821186169533e-236
UNC93B1	1.3325373	0.0
FAM181A	1.323941	1.0554370108074697e-221
PROK2	1.3180342	0.0
GS1-204I12.4	1.3140333	2.424188648553337e-307
TMCO4	1.3133471	0.0
RP11-469H8.6	1.3069088	0.0
DRD4	1.3024858	0.0
ADAMTS18	1.2848889	1.0491815684590665e-264
GIMAP4	1.2824229	0.0
HEY1	1.2815015	2.9478847135553947e-238
SOX2	1.2704403	5.430023343336515e-96
RP11-582J16.3	1.2698548	0.0
ACOX2	1.268009	0.0
S100A4	1.2553693	0.0
TMEM161B-AS1	1.2533623	1.9179524424835346e-162
ETNPPL	1.2500945	4.2819155515875164e-294
GOLGA8K	1.2439547	4.8791737135967787e-306
RPS27L	1.2434024	2.579828883159079e-268
TEAD4	1.2375327	0.0
GINS2	1.235555	5.618941299233151e-202
TSPO	1.2351611	0.0
MOS	1.2314988	0.0
LINC01229	1.2262747	0.0
RP1-150O5.3	1.2242486	4.775447309472348e-297
CTB-178M22.2	1.2229978	0.0
STXBP6	1.217924	0.0
PNLDC1	1.2167294	0.0
EMX2	1.2138581	6.374643501437195e-170
RP11-83C7.1	1.2127274	0.0
CMTM8	1.2083975	0.0
MIR155HG	1.2040751	4.878071518990692e-301
C2orf82	1.2035104	1.5656757667290483e-304
SOX3	1.2027237	1.8541830581560246e-267
RP11-49I11.1	1.2006118	0.0
ITLN2	1.1991254	1.0517718914661716e-304
PSMB8	1.198757	2.1604379205131856e-274
CD99	1.1852133	9.407729201159744e-245
ESPNL	1.1842797	0.0
FEZF2	1.1836137	3.482696726620446e-92
CDC42EP5	1.1771042	0.0
ANKRD34B	1.1765463	1.518006432969928e-247
AP001092.4	1.1753746	9.490104756120013e-307
KRT18	1.1750655	0.0
CLU	1.174997	0.0
TUSC5	1.1649971	1.049197584964023e-297
IFI44	1.1644319	2.5838189910975462e-228
FOLH1	1.1625538	1.4384414118567317e-286
DKK4	1.1602597	3.0871856382983865e-131
PCOLCE2	1.1582841	0.0
RP11-219B17.3	1.1510124	1.5535791758154312e-186
CXCL6	1.1493653	1.9362402789083985e-297
PSMB8-AS1	1.14768	5.662673228569499e-162
TAP1	1.1378472	1.67759804342277e-304
SAMD9	1.1368082	9.92274512483576e-283
GCHFR	1.1359049	0.0
P3H2	1.1348412	3.515746301240234e-301
ADAMTS19-AS1	1.1339247	0.0
LINC00958	1.1325948	0.0
MRAP2	1.1317766	0.0
EMP3	1.125577	0.0
EFHD1	1.1214935	9.903425265859568e-291
STOX1	1.1209931	1.0921316876866605e-262
PGA3	1.1204419	7.784426991849691e-254
PLA2G3	1.1183653	7.021393616553938e-281
LINC01183	1.1136804	6.79928307770685e-301
RGR	1.1042995	0.0
EEF1D	1.1017491	0.0
ALDH3A1	1.1016766	0.0
CTC-529P8.1	1.101404	1.8848535258674536e-303
LINC00391	1.1012003	1.3992419842822291e-179
ADAM15	1.096008	0.0
FZD2	1.0948164	1.9002958159196935e-251
PTGS1	1.0927434	5.976776609843727e-277
LINC00683	1.0884535	0.0
CHP2	1.0868887	0.0
PGM1	1.0862818	0.0
NDP	1.0849632	5.634947544063145e-304
USH1C	1.0849574	7.331511151716274e-235
LY6E	1.0848558	0.0
MPPED1	1.0804601	7.065970799643957e-279
GYPE	1.079656	1.200049979835298e-254
SCGB3A1	1.0745643	0.0
SAPCD1-AS1	1.071924	1.9407956523840584e-303
RP11-35P15.1	1.0717812	2.3078346995119712e-299
SLITRK6	1.0715077	2.1999109587216724e-257
AMDHD1	1.0706475	7.860696460875558e-196
SLC25A43	1.0624233	0.0
FBXO17	1.0620563	0.0
HMGA2	1.0614083	1.0035661699717826e-142
METTL1	1.0613968	0.0
MFSD2A	1.0597972	0.0
EMX1	1.0584574	1.2068607641204791e-122
PIP5K1B	1.0581002	0.0
CGREF1	1.0543771	0.0
GS1-24F4.2	1.0533566	1.8848535258674536e-303
SLC29A2	1.0525538	0.0
CYP11A1	1.0486802	0.0
GCAT	1.0472614	1.7891261747153856e-285
TIMP1	1.0472168	0.0
MCM5	1.0446405	1.739738279906436e-241
HSD17B6	1.0445133	0.0
NMI	1.0439646	0.0
CEBPA-AS1	1.0409977	0.0
SERPINF1	1.0399455	4.408698937735948e-291
FAM195A	1.0393451	0.0
RP11-610J23.1	1.0369178	3.038622986584756e-278
TMEM221	1.035414	0.0
MICA	1.0345768	2.8321648922803846e-289
ANGPTL1	1.0316336	1.455595240628739e-223
BST2	1.0315983	2.604385663017942e-257
KRT35	1.0310358	2.266608774910146e-272
C1QTNF9B-AS1	1.0307188	1.666930657916137e-240
MARVELD1	1.0305799	0.0
BCL3	1.02999	2.6056460017852753e-226
RP11-92A5.2	1.029902	5.555878778793781e-273
PDYN	1.0287179	1.4825946232636232e-218
PRR34-AS1	1.0285246	2.0554977856560235e-197
KRTAP19-1	1.0281124	9.088173757689222e-305
GNB2L1	1.027968	0.0
EMID1	1.0263156	0.0
EFNA4	1.0245218	0.0
LINC00116	1.023802	2.367607969921175e-275
CD82	1.0236881	9.164135119931628e-252
ACOXL	1.0228863	4.053153054509244e-261
POLD2	1.0215365	0.0
CKB	1.0213258	1.4186823855693534e-294
IL18R1	1.0207301	1.3136294778576564e-78
MMP7	1.0192556	3.7228196842142325e-273
BTN3A2	1.0181668	5.28033169494915e-266
CTSC	1.0175308	0.0
SCARF1	1.015403	6.989477156543854e-280
WBSCR22	1.0141605	0.0
SMPDL3B	1.0120491	3.4127549863787634e-242
DHDH	1.0110234	6.740645362143737e-301
PAQR9	1.0102222	4.440087798917908e-296
TCEA3	1.0100563	1.161744198116608e-279
AC034228.3	1.0075303	1.8918198740053418e-292
RP11-900F13.2	1.0020157	2.2860931039004897e-260
RP11-527L4.2	1.000393	0.0
IL27RA	0.9991909	0.0
IMPDH2	0.99899113	0.0
LINC00626	0.9981018	8.081290938794243e-289
NR2E1	0.99724734	1.6774052790170773e-233
SH2D2A	0.9963025	0.0
AK5	0.9959472	2.923069629607331e-271
DMRTA1	0.99532175	1.522334547377553e-158
HSPB1	0.99447674	3.328275075840878e-243
CD320	0.9927967	0.0
