names	lfc	padj
RP11-462L8.1	3.2220924	1.2157212184397697e-133
HIST1H2BM	3.1216793	6.484133663501912e-85
TEX12	2.9704213	4.967262841794078e-89
USP2-AS1	2.874608	1.4675615988390633e-148
HIST1H3A	2.8383706	9.220776151254778e-111
AC072062.1	2.8255403	4.5980968087423874e-120
TNFRSF11A	2.7495546	3.678260752551217e-123
HIST1H2AI	2.6751857	2.0670433944248896e-69
RP11-44N11.2	2.6375477	4.1906827809516964e-127
UBE2C	2.6327193	3.9835668838124917e-73
RP5-942I16.1	2.6151986	3.579901747930154e-129
PABPC3	2.5874972	8.304914699695038e-137
LINC01133	2.5610034	3.271746861704062e-117
NEIL3	2.5184135	3.2880652358266974e-84
MGC45922	2.5139315	5.56581870174914e-147
RP11-277P12.20	2.5109773	3.679908796346124e-114
MMP7	2.4846308	3.0885676434984884e-109
HIST1H4F	2.4715343	2.9982500860497036e-61
RP11-238F2.1	2.4487598	2.436970162170582e-95
HIST1H3B	2.402547	6.32256521001728e-80
RP11-122M14.1	2.3843672	1.0519324344692946e-73
PNLDC1	2.361292	1.6947476622591325e-81
NDC80	2.3553038	1.125530692234285e-79
SPC25	2.3316107	2.583162791423519e-74
CDK1	2.330935	2.9900304023401593e-72
CENPA	2.278492	3.533071002203174e-71
RHEBL1	2.2704544	1.175003705932912e-109
HIST1H1B	2.2665648	1.0087042543759765e-69
GLIDR	2.264205	1.2259713613113047e-131
HIST1H4C	2.2628458	2.4687018293777226e-45
AC093818.1	2.2616236	2.024179692244647e-63
CCDC67	2.256912	8.268738694467284e-121
TICRR	2.2538052	3.296309606584291e-100
AMPD3	2.243885	8.079876502211619e-114
RP5-1021I20.1	2.2366705	9.07064472547474e-87
RP11-615I2.2	2.2353575	7.21144107399967e-102
TYMS	2.2281988	2.2813375682832237e-84
JARID2-AS1	2.2256129	4.023259008256733e-97
NUF2	2.2117338	6.457794388934998e-68
HMGB2	2.2031674	1.322527348667142e-72
MND1	2.1985035	3.4762313540779534e-89
NUSAP1	2.1975129	2.8839258086749798e-65
CDKN3	2.1928122	6.529605298412206e-75
SCIN	2.1893704	7.403213445490776e-100
HIST1H2BJ	2.177945	5.59951802836948e-71
RP11-739G5.1	2.1644354	8.896572798212707e-95
RP11-435O5.2	2.1615396	4.8527250686617953e-123
GDPD2	2.1603858	5.066999348619736e-85
AC034228.3	2.1603198	4.124698374958958e-79
SPR	2.1504984	3.3667490542361166e-130
RP11-119D9.1	2.1500773	5.378055553113338e-90
CDCA3	2.1486156	6.87313483323532e-45
RRM2	2.1477444	7.90082623593479e-80
HIST1H3F	2.1343122	1.3799419928084742e-66
HIST1H2AG	2.130557	2.219894756575431e-80
ERCC6L	2.0855002	2.0701689940642667e-78
BIRC5	2.0846326	1.3075206318511455e-65
CTA-363E6.2	2.083784	3.654289318422077e-83
EIF2B5-AS1	2.0819736	4.923394243043996e-58
OIP5	2.08054	1.7713309347318365e-78
RP11-396C23.2	2.0745013	4.214838800760986e-123
HIST1H3H	2.0694883	5.459119448029186e-72
ZNF98	2.066844	1.216145439919106e-20
KIF4B	2.0659916	6.049942987567395e-74
UBE2T	2.0650642	1.1835795388552642e-74
CCNB1	2.0596974	3.483536799065114e-63
CCNB2	2.0485163	5.9787160495243535e-77
RP11-355F22.1	2.044902	1.3976860649352555e-65
RP11-1085N6.5	2.0446908	4.0446409893883278e-75
HIST1H3C	2.0360663	4.786086432215123e-54
PTTG1	2.0337682	5.878877604100361e-67
KIAA0101	2.0139682	3.3213686126566954e-71
RP11-20J15.3	2.013482	1.2149497964070425e-86
PBK	2.000871	6.726052999267324e-63
PFN4	1.999127	2.3200494933496968e-101
E2F8	1.998276	1.928288682679106e-61
CDC20	1.9972185	4.517635124960606e-72
RP1-167A14.2	1.9928232	7.946652888416936e-72
FAM72D	1.9692693	1.5388199796850746e-65
CENPM	1.9562058	9.221778066445047e-78
CCNA2	1.9533473	1.1541303159013099e-68
CKS2	1.9494735	5.500742690244086e-84
HMGN2	1.9430445	2.3553249549975907e-97
NEK2	1.935671	3.1415232713567866e-67
RP11-820I16.1	1.9354622	1.476904785375769e-83
TEX26	1.9306979	2.3776953345525866e-100
HIST1H2BF	1.9219667	7.575237539861186e-73
C8orf34-AS1	1.9183328	6.81940545331661e-104
RP11-15A1.2	1.9164325	9.174648168096358e-130
FAM64A	1.9143802	5.106631386765594e-71
CDCA5	1.9071705	3.952746026576857e-69
RP11-244M2.1	1.9067721	1.9738770382199816e-32
HIST1H2BL	1.9066505	5.061358930005329e-71
AC253572.1	1.9036983	4.0262188450773817e-110
CDC25C	1.9013166	8.163675721510547e-61
PPY	1.899974	4.674013644939377e-79
CKS1B	1.8904368	3.4594749713375714e-75
SKA1	1.8827289	6.112336987873883e-62
PSRC1	1.8823214	5.615304578681108e-68
C10orf131	1.8815956	1.0320027517200281e-41
HIST1H2BK	1.8748503	1.515202649816262e-89
RP11-93K22.13	1.8671929	1.6938476085749434e-79
MAD2L1	1.8646079	8.798025346065736e-64
TK1	1.858445	5.595641775231877e-67
NUP62CL	1.8549937	7.351989002671608e-116
OCSTAMP	1.8541867	7.57522337780789e-91
DDIAS	1.8487471	7.148252650201846e-76
TPX2	1.8471789	2.2261347250233466e-51
CTB-55O6.13	1.8365442	2.00735288642229e-73
LLNLR-304G9.1	1.83464	5.544572508229384e-78
PARP12	1.8277812	3.120713819581273e-32
ZWINT	1.8242829	1.3175149725341358e-78
RP11-108E14.1	1.8177006	2.812388510287254e-108
HJURP	1.8172024	7.290817794446963e-71
CH507-9B2.3	1.8154745	7.375738403778753e-96
RTKN2	1.8146774	6.970191448067701e-84
MCMDC2	1.813071	3.355588202924297e-97
HIST1H4H	1.8076677	1.9711086504269487e-84
DLGAP5	1.8007631	8.097738718843861e-53
U2AF1L5	1.7974708	4.787906758675924e-37
RP11-347C12.10	1.7958626	1.7083628053817066e-107
RAD51AP1	1.785051	7.51868130457e-70
RP11-264B17.2	1.7839708	3.522579385416315e-96
FAM43B	1.775878	2.0573172917800856e-88
AURKB	1.7735044	3.152013353463896e-57
CBLN3	1.7730508	1.6487078338694295e-85
CDCA8	1.7701632	3.405524339353464e-64
TOP2A	1.7635523	2.2310811082982308e-48
CORT	1.7607158	1.2166992166027108e-108
CTD-2213F21.2	1.7603604	1.681427835244718e-99
KIF18B	1.7556406	5.836861539744026e-56
CKAP2L	1.7544079	2.77575662318964e-63
CHEK2	1.7523509	1.2567595933798413e-68
TMPO-AS1	1.7410953	5.289980769168328e-98
FABP7	1.7380049	6.142396312786158e-37
RP11-370A5.1	1.7362182	4.085125124513689e-53
KIF24	1.7353272	7.382130781318058e-79
